,cname,ccodealp,ht_region,gle_cgdpc,undp_hdi,imf_pop,ffp_hf,wef_qes,wdi_expedu,wdi_ners
42,Costa Rica,CRI,2,9485.71,0.77499998,,3.5,4.666448593,6.927239895,78.12113953
82,Italy,ITA,5,32931.672,0.88099998,60.78300095,2,3.736852646,4.079850197,95.72698975
62,Georgia,GEO,1,7148.5698,0.76800001,3.730000019,5.400000095,3.200925112,1.983309984,92.05198669
175,United Arab Emirates,ARE,3,20310.109,0.83600003,,2.5,5.279840946,,
172,Togo,TGO,4,1036.28,0.484,6.928999901,7.300000191,,4.868460178,
133,Papua New Guinea,PNG,9,1693.54,0.51499999,6.880000114,7.099999905,,,
171,Thailand,THA,7,9295.5703,0.73799998,68.65699768,4.099999905,3.449850321,4.12887001,83.64586639
6,Azerbaijan,AZE,1,9793.3096,0.75800002,9.342000008,4.300000191,3.089141369,2.634660006,
184,United Kingdom,GBR,5,34791.051,0.90799999,64.59700012,2.099999905,4.633322239,5.734489918,98.27998352
86,Kazakhstan,KAZ,1,14098.88,0.79299998,17.42200089,3.599999905,3.581974983,2.787499905,95.94628143
121,Netherlands,NLD,5,42258.352,0.92299998,16.86499977,2.599999905,5.304530621,5.529379845,93.88201904
66,Kiribati,KIR,9,1532.65,0.58600003,0.107000001,,,,
189,Uzbekistan,UZB,1,7370.7202,0.69700003,29.74600029,6.300000191,,,92.2073822
83,Cote d'Ivoire,CIV,4,1354.29,0.46599999,22.52400017,6.699999809,3.562078714,4.729380131,
33,Sri Lanka,LKA,8,5466.8701,0.764,20.54100037,7.800000191,4.644126892,1.925660014,85.42613983
135,Peru,PER,2,9227.1504,0.73699999,30.80900002,6.699999809,2.538634539,3.689779997,78.37956238
148,San Marino,SMR,5,42664.211,,0.034000002,,,2.383729935,
40,Congo,COG,4,2369.8401,0.58999997,,6.800000191,,,
166,Swaziland,SWZ,4,4110.0498,0.54100001,1.105999947,6.900000095,3.798652887,7.049990177,36.21157837
147,St Vincent and the Grenadines,VCT,10,7454.8799,0.72000003,0.109999999,,,,
80,Ireland,IRL,5,46422.07,0.92000002,4.620999813,2.799999952,5.434197426,5.324570179,99.57335663
53,Equatorial Guinea,GNQ,4,15412.43,0.58200002,,6,,,
164,Sudan (2012-),SDN,4,,0.48800001,,8.800000191,,,
69,Guatemala,GTM,2,4438,0.63700002,,6.699999809,2.693367958,2.941740036,46.71841812
123,New Zealand,NZL,5,26481.369,0.91299999,4.554999828,2.099999905,5.318371296,6.336800098,96.4400177
107,Malta,MLT,5,24094.641,0.85299999,0.425000012,4,5.026020527,7.848999977,88.06436157
61,Gabon,GAB,4,14525.28,0.69400001,,5.5,2.875664711,2.666169882,
84,Jamaica,JAM,10,4668.77,0.72899997,2.799000025,7.800000191,3.711759329,6.024670124,73.51493835
1,Albania,ALB,1,8516.7002,0.76200002,,7.099999905,4.111338615,3.539439917,85.2782135
88,Kenya,KEN,4,1494.63,0.55000001,40.70000076,7.5,4.509935379,5.274750233,
